Size || C Sort || C++ Sort 
10000 | 0.002275 | 0.00303
10000 | 0.001491 | 0.00224
10000 | 0.001784 | 0.002666
10000 | 0.001711 | 0.002188
10000 | 0.001453 | 0.001995
10000 | 0.001686 | 0.00272
10000 | 0.001814 | 0.002444
10000 | 0.001382 | 0.002015
10000 | 0.001322 | 0.002046
20000 | 0.003205 | 0.00453
20000 | 0.002856 | 0.004829
20000 | 0.003909 | 0.005268
20000 | 0.003018 | 0.004603
20000 | 0.004878 | 0.004524
20000 | 0.003341 | 0.005262
20000 | 0.003874 | 0.004533
20000 | 0.002868 | 0.004816
20000 | 0.003174 | 0.004837
20000 | 0.003055 | 0.005698
40000 | 0.006363 | 0.010491
40000 | 0.006828 | 0.010089
40000 | 0.006086 | 0.010605
40000 | 0.006116 | 0.010194
40000 | 0.006335 | 0.011
40000 | 0.00706  |  0.009397
40000 | 0.006944 | 0.010572
40000 | 0.006895 | 0.010145
40000 | 0.007226 | 0.009299
40000 | 0.006874 | 0.009858
80000 | 0.014525 | 0.021213
80000 | 0.014358 | 0.022014
80000 | 0.017502 | 0.021198
80000 | 0.018095 | 0.022625
80000 | 0.014279 | 0.021829
80000 | 0.014598 | 0.021709
80000 | 0.015655 | 0.022494
80000 | 0.017701 | 0.02373
80000 | 0.016533 | 0.023002
80000 | 0.017722 | 0.022729
160000 | 0.033921 | 0.049965
160000 | 0.038966 | 0.045976
160000 | 0.031937 | 0.046519
160000 | 0.036412 | 0.048296
160000 | 0.034846 | 0.048175
160000 | 0.034161 | 0.047378
160000 | 0.032788 | 0.046357
160000 | 0.034471 | 0.045799
160000 | 0.031965 | 0.045067
160000 | 0.033638 | 0.048466
320000 | 0.07437 | 0.097838

