5000; 0.001; 0.007
6000; 0.002; 0.009
7000; 0.003; 0.011
8000; 0.003; 0.013
9000; 0.003; 0.013
10000; 0.004; 0.016
11000; 0.004; 0.018
12000; 0.005; 0.022
13000; 0.006; 0.022
14000; 0.007; 0.023
15000; 0.007; 0.024
16000; 0.007; 0.028
17000; 0.007; 0.028
18000; 0.008; 0.031
19000; 0.008; 0.033
20000; 0.008; 0.033
21000; 0.009; 0.034
22000; 0.01; 0.037
23000; 0.01; 0.038
24000; 0.01; 0.039
25000; 0.011; 0.046
26000; 0.012; 0.048
27000; 0.012; 0.049
28000; 0.012; 0.052
29000; 0.013; 0.054
30000; 0.013; 0.058
31000; 0.013; 0.06
32000; 0.014; 0.06
33000; 0.015; 0.061
34000; 0.016; 0.061
35000; 0.017; 0.062
36000; 0.017; 0.063
37000; 0.018; 0.064
38000; 0.018; 0.065
39000; 0.018; 0.068
40000; 0.018; 0.072
41000; 0.019; 0.074
42000; 0.019; 0.075
43000; 0.019; 0.076
44000; 0.019; 0.076
45000; 0.02; 0.079
46000; 0.02; 0.08
47000; 0.02; 0.084
48000; 0.021; 0.085
49000; 0.022; 0.086
50000; 0.022; 0.088
51000; 0.022; 0.089
52000; 0.023; 0.094
53000; 0.023; 0.096
54000; 0.024; 0.099
55000; 0.025; 0.101
56000; 0.025; 0.107
57000; 0.026; 0.106
58000; 0.026; 0.106
59000; 0.027; 0.11
60000; 0.027; 0.11
61000; 0.027; 0.111
62000; 0.028; 0.113
63000; 0.029; 0.114
64000; 0.029; 0.118
65000; 0.03; 0.119
66000; 0.03; 0.12
67000; 0.031; 0.121
68000; 0.031; 0.122
69000; 0.031; 0.124
70000; 0.032; 0.125
71000; 0.032; 0.126
72000; 0.033; 0.131
73000; 0.034; 0.133
74000; 0.035; 0.133
75000; 0.035; 0.134
76000; 0.036; 0.135
77000; 0.036; 0.137
78000; 0.036; 0.139
79000; 0.037; 0.14
80000; 0.037; 0.142
81000; 0.037; 0.147
82000; 0.038; 0.149
83000; 0.038; 0.151
84000; 0.039; 0.153
85000; 0.039; 0.155
86000; 0.039; 0.159
87000; 0.04; 0.161
88000; 0.04; 0.163
89000; 0.041; 0.165
90000; 0.041; 0.168
91000; 0.041; 0.17
92000; 0.042; 0.172
93000; 0.043; 0.173
94000; 0.043; 0.174
95000; 0.044; 0.175
96000; 0.044; 0.177
97000; 0.045; 0.178
98000; 0.045; 0.18
99000; 0.046; 0.181
100000; 0.046; 0.182

1-ый столбец: размер массива; 
2-ой столбец: сортировка qsort языка C; 
3-ий столбец: сортировка sort языка C++
_____________________________
Итог: По результатам эксперимента можно сделать вывод, что сортировка qsort языка С работает быстрее, чем сортировка sort языка C++ 
